"","C03-R","C09-R","A33-R"
"MFHAS1",2267.99260113962,985.538039835125,1500.30441304629
"MFN1",2875.92754733721,2042.14350990226,3003.58168820561
"MFN2",5049.81257166605,4051.88863249287,3976.69855320657
"MFNG",54.5823945502481,126.458221442259,143.688335463482
"MFRP",0,68.9772116957776,5.94572422607511
"MFSD1",384.89998915606,542.41171015316,481.603662312084
"MFSD10",2708.41606061403,2689.06614686721,1940.28800577584
"MFSD11",617.345703878668,588.396517950345,689.704010224712
"MFSD12",1066.23884526605,1263.53710515447,1089.05848740942
"MFSD13A",713.335432225656,323.983873116531,409.264017561503
"MFSD13B",31.0555003475549,19.857076094239,27.7467130550172
"MFSD14A",119.516622549681,55.3907912102456,76.3034609012972
"MFSD14B",812.148387876967,1508.09267389405,1360.57989373352
"MFSD14C",2634.07107493352,1755.78357043797,2897.54960617394
"MFSD2A",546.765021270588,319.80343604406,550.970444949627
"MFSD2B",104.459410259957,81.5185229131917,75.312506863618
"MFSD3",439.482383706308,618.704686725762,364.67108586594
"MFSD4A",353.844488808505,206.931635087333,193.236037347441
"MFSD4B",1016.36182955634,1448.52144561133,1498.32250497093
"MFSD5",432.894853329554,601.982938435877,403.318293335428
"MFSD6",1706.17036757931,658.41883891424,976.089727113997
"MFSD8",1225.28065007626,757.704219385435,1438.86526271018
"MFSD9",1011.6564507158,569.584551124224,1018.7007507342
"MGA",3054.73194327768,1255.17623100953,2976.82592918827
"MGAM",27.291197275124,39.714152188478,67.3848745621845
"MGAM2",15.9982880578313,32.3983873116531,12.8824024898294
"MGARP",18.8215153621545,19.857076094239,51.5296099593176
"MGAT1",1748.51877714415,2307.6012640042,1688.58568020533
"MGAT2",31.0555003475549,18.8119668261212,20.8100347912629
"MGAT3",4011.80599944323,2894.95267268642,2874.75766330731
"MGAT4A",1553.71609314585,904.019516921933,625.291997775565
"MGAT4B",2599.25127151354,4197.15882076125,2226.67372266513
"MGAT4C",391.487519532814,415.953488710901,209.091301950308
"MGAT5",5053.57687473848,4290.17354562374,3923.18703517189
"MGAT5B",2029.90043180836,1661.72373630737,1835.24687778185
"MGC16275",7.5286061448618,30.3081687754174,24.7738509419796
"MGLL",2290.5784195742,600.937829167759,1456.7024353884
"MGME1",351.962337272289,552.862802834338,620.337227587169
"MGMT",116.693395245358,692.907444762129,186.299359083687
"MGP",3.7643030724309,95.1049433987236,15.855264602867
"MGRN1",5525.05583456045,4392.59425389929,4175.88031478008
"MGST1",442.305611010631,1068.10167201643,688.713056187033
"MGST2",16.939363825939,169.30770143509,29.7286211303755
"MGST3",3908.28766495138,4254.63983050773,2868.81193908124
"MHENCR",461.127126372785,500.607339428446,289.358579002322
"MIA2",650.283355762438,1466.28830316933,747.179344410105
"MIA3",3357.75834060836,2021.24132453991,3005.56359628097
"MIAT",26213.6655206407,10780.3021006355,27494.019775409
"MIATNB",29.1733488113395,53.3005726740099,59.4572422607511
"MIB1",5512.82184957505,3244.01916823778,8435.00076872522
"MIB2",2778.99674322211,3427.95839942652,2745.93363840902
"MICA",96.9308041150957,684.546570617186,145.67024353884
"MICAL1",4094.62066703671,2050.50438404721,4154.07932595114
"MICAL2",1410.67257639348,496.426902355975,410.254971599182
"MICAL3",3711.60282941687,982.402712030771,2575.4895439282
"MICALL1",1826.62806589709,1465.24319390121,1809.48207280219
"MICALL2",1375.85277297349,1024.20708275549,900.777220250379
"MICB",29.1733488113395,51.2103541377743,13.8733565275086
"MICOS10",203.272365911269,333.389856529592,231.883244816929
"MICOS13",780.151811761304,1258.31155881388,734.296941920276
"MICU1",2110.83294786563,2465.41276348999,2304.95909164178
"MICU2",2078.83637174996,2182.18815183005,2063.16630644806
"MICU3",1188.57869512006,575.855206732931,934.469657531471
"MID1",1163.16964938115,1663.8139548436,2836.11045583783
"MID1IP1",843.203888224522,2209.36099280112,1677.68518579086
"MID2",56.4645460864635,186.029449724976,49.5477018839592
"MIDEAS",1927.32317308462,807.869464255092,1523.09635591291
"MIDN",4798.54534158129,4135.4973739423,5095.48566174637
"MIEF1",1939.55715807002,2410.02197227974,2176.13506674349
"MIEF2",1224.33957430815,1172.61259882822,876.994323346078
"MIEN1",571.232991241389,821.455884740624,475.657938086009
"MIER1",1876.5050816068,1172.61259882822,1925.42369521066
"MIER2",826.264524398583,802.643917914503,810.600402821573
"MIER3",1173.52148283033,961.500526668415,1488.41296459414
"MIF-AS1",59.2877733907867,32.3983873116531,26.755759017338
"MIF4GD",427.248398720907,592.576955022816,350.797729338431
